label,baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged,ss_mean_bps,ss_stddev_bps
B1,0,0,2,30,5,0,2019024262,0,0,13695089,161508,0,2080060,25626
B1,0,0,2,30,5,0,780421486,1,0,13695089,161508,0,2080060,25626
B1,0,0,2,30,5,0,1304602151,2,0,13695089,161508,0,2080060,25626
B1,0,0,2,30,5,0,859859908,3,0,13695089,161508,0,2080060,25626
B1,0,0,2,30,5,0,1761317079,4,0,13695089,161508,0,2080060,25626
B1,0,0,2,30,5,0,1139116100,5,0,13695089,161508,0,2080060,25626
B1,0,0,2,30,5,0,1052982742,6,0,13695089,161508,0,2080060,25626
B1,0,0,2,30,5,0,2140188135,7,0,13695089,161508,0,2080060,25626
B1,0,0,2,30,5,0,1521158711,8,0,13695089,161508,0,2080060,25626
B1,0,0,2,30,5,0,1786157062,9,0,13695089,161508,0,2080060,25626
BBRSAT,4,0,2,30,5,0,936848970,0,4505469,20059067,326772,1,2974238,290411
BBRSAT,4,0,2,30,5,0,1329417851,1,4505469,20059067,326772,1,2974238,290411
BBRSAT,4,0,2,30,5,0,1418364069,2,4505469,20059067,326772,1,2974238,290411
BBRSAT,4,0,2,30,5,0,320714264,3,4505469,20059067,326772,1,2974238,290411
BBRSAT,4,0,2,30,5,0,886403204,4,4505469,20059067,326772,1,2974238,290411
BBRSAT,4,0,2,30,5,0,2012334832,5,4505469,20059067,326772,1,2974238,290411
BBRSAT,4,0,2,30,5,0,637250331,6,4505469,20059067,326772,1,2974238,290411
BBRSAT,4,0,2,30,5,0,913157568,7,4505469,20059067,326772,1,2974238,290411
BBRSAT,4,0,2,30,5,0,1769141891,8,4505469,20059067,326772,1,2974238,290411
BBRSAT,4,0,2,30,5,0,251191312,9,4505469,20059067,326772,1,2974238,290411
CUBIC,5,0,2,30,5,0,1500854475,0,5507281,19568366,613480,1,2898093,1842485
CUBIC,5,0,2,30,5,0,1789157344,1,5507281,19568366,613480,1,2898093,1842485
CUBIC,5,0,2,30,5,0,2000945178,2,5507281,19568366,613480,1,2898093,1842485
CUBIC,5,0,2,30,5,0,533364130,3,5507281,19568366,613480,1,2898093,1842485
CUBIC,5,0,2,30,5,0,596853866,4,5507281,19568366,613480,1,2898093,1842485
CUBIC,5,0,2,30,5,0,1404958285,5,5507281,19568366,613480,1,2898093,1842485
CUBIC,5,0,2,30,5,0,1676351658,6,5507281,19568366,613480,1,2898093,1842485
CUBIC,5,0,2,30,5,0,1420887823,7,5507281,19568366,613480,1,2898093,1842485
CUBIC,5,0,2,30,5,0,1483036754,8,5507281,19568366,613480,1,2898093,1842485
CUBIC,5,0,2,30,5,0,863922259,9,5507281,19568366,613480,1,2898093,1842485
