baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged,ss_mean_bps,ss_stddev_bps
0,0,1,120,0,0,1071609720,2,0,47751990,157752,0,7180816,16709
0,0,1,120,0,0,1701076604,6,0,47751990,157752,0,7180816,16709
0,0,1,120,0,0,1831317012,7,0,47751990,157752,0,7180816,16709
0,0,1,120,0,0,1907695289,1,0,47751990,157752,0,7180816,16709
0,0,1,120,0,0,1918510595,5,0,47751990,157752,0,7180816,16709
0,0,1,120,0,0,1954535726,4,0,47751990,157752,0,7180816,16709
0,0,1,120,0,0,365348640,3,0,47751990,157752,0,7180816,16709
0,0,1,120,0,0,478163327,0,0,47751990,157752,0,7180816,16709
0,0,1,120,0,0,493581915,9,0,47751990,157752,0,7180816,16709
0,0,1,120,0,0,742079273,8,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,1071609720,2,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,1701076604,6,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,1831317012,7,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,1907695289,1,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,1918510595,5,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,1954535726,4,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,365348640,3,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,478163327,0,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,493581915,9,0,47751990,157752,0,7180816,16709
0,0,1,120,10,0,742079273,8,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,1071609720,2,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,1701076604,6,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,1831317012,7,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,1907695289,1,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,1918510595,5,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,1954535726,4,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,365348640,3,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,478163327,0,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,493581915,9,0,47751990,157752,0,7180816,16709
0,0,1,120,20,0,742079273,8,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,1071609720,2,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,1701076604,6,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,1831317012,7,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,1907695289,1,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,1918510595,5,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,1954535726,4,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,365348640,3,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,478163327,0,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,493581915,9,0,47751990,157752,0,7180816,16709
0,0,1,120,2,0,742079273,8,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,1071609720,2,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,1701076604,6,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,1831317012,7,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,1907695289,1,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,1918510595,5,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,1954535726,4,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,365348640,3,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,478163327,0,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,493581915,9,0,47751990,157752,0,7180816,16709
0,0,1,120,30,0,742079273,8,0,47751990,157752,0,7180816,16709
0,0,1,120,5,0,1071609720,2,0,47751990,157752,0,7180816,16709
0,0,1,120,5,0,1701076604,6,0,47751990,157752,0,7180816,16709
0,0,1,120,5,0,1831317012,7,0,47751990,157752,0,7180816,16709
