baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,n_runs,n_converged,t90_median_us,t90_p25_us,t90_p75_us,goodput_mean_bytes,goodput_ci95_bytes,peak_queue_median,ss_mean_bps,ss_stddev_bps
0,0,1,120,0,0,10,0,0.0,0.0,0.0,47751990.0,0.0,157752.0,7180816.0,0.0
0,0,1,120,10,0,10,0,0.0,0.0,0.0,47751990.0,0.0,157752.0,7180816.0,0.0
0,0,1,120,2,0,10,0,0.0,0.0,0.0,47751990.0,0.0,157752.0,7180816.0,0.0
0,0,1,120,20,0,10,0,0.0,0.0,0.0,47751990.0,0.0,157752.0,7180816.0,0.0
0,0,1,120,30,0,10,0,0.0,0.0,0.0,47751990.0,0.0,157752.0,7180816.0,0.0
0,0,1,120,5,0,10,0,0.0,0.0,0.0,47751990.0,0.0,157752.0,7180816.0,0.0
0,0,1,30,0,0,10,0,0.0,0.0,0.0,47599265.0,0.0,156500.0,7122012.0,0.0
0,0,1,30,10,0,10,0,0.0,0.0,0.0,47599265.0,0.0,156500.0,7122012.0,0.0
0,0,1,30,2,0,10,0,0.0,0.0,0.0,47599265.0,0.0,156500.0,7122012.0,0.0
0,0,1,30,20,0,10,0,0.0,0.0,0.0,47599265.0,0.0,156500.0,7122012.0,0.0
0,0,1,30,30,0,10,0,0.0,0.0,0.0,47599265.0,0.0,156500.0,7122012.0,0.0
0,0,1,30,5,0,10,0,0.0,0.0,0.0,47599265.0,0.0,156500.0,7122012.0,0.0
0,0,1,60,0,0,10,0,0.0,0.0,0.0,47545660.0,0.0,157752.0,7179934.0,0.0
0,0,1,60,10,0,10,0,0.0,0.0,0.0,47545660.0,0.0,157752.0,7179934.0,0.0
0,0,1,60,2,0,10,0,0.0,0.0,0.0,47545660.0,0.0,157752.0,7179934.0,0.0
0,0,1,60,20,0,10,0,0.0,0.0,0.0,47545660.0,0.0,157752.0,7179934.0,0.0
0,0,1,60,30,0,10,0,0.0,0.0,0.0,47545660.0,0.0,157752.0,7179934.0,0.0
0,0,1,60,5,0,10,0,0.0,0.0,0.0,47545660.0,0.0,157752.0,7179934.0,0.0
0,0,2,120,0,0,10,0,0.0,0.0,0.0,13758384.0,0.0,159059.0,2067054.0,0.0
0,0,2,120,10,0,10,0,0.0,0.0,0.0,13758384.0,0.0,159059.0,2067054.0,0.0
0,0,2,120,2,0,10,0,0.0,0.0,0.0,13758384.0,0.0,159059.0,2067054.0,0.0
0,0,2,120,20,0,10,0,0.0,0.0,0.0,13758384.0,0.0,159059.0,2067054.0,0.0
0,0,2,120,30,0,10,0,0.0,0.0,0.0,13758384.0,0.0,159059.0,2067054.0,0.0
0,0,2,120,5,0,10,0,0.0,0.0,0.0,13758384.0,0.0,159059.0,2067054.0,0.0
0,0,2,30,0,0,10,0,0.0,0.0,0.0,13695089.0,0.0,161508.0,2080060.0,0.0
0,0,2,30,10,0,10,0,0.0,0.0,0.0,13695089.0,0.0,161508.0,2080060.0,0.0
0,0,2,30,2,0,10,0,0.0,0.0,0.0,13695089.0,0.0,161508.0,2080060.0,0.0
0,0,2,30,20,0,10,0,0.0,0.0,0.0,13695089.0,0.0,161508.0,2080060.0,0.0
