baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged
0,0,2,30,0,0,478163327,0,0,5368586,33120391,0
0,0,2,30,5,0,1181241943,0,0,5368586,33120391,0
0,0,2,30,2,0,107420369,0,0,5368586,33120391,0
0,0,2,30,10,0,1051802512,0,0,5368586,33120391,0
0,0,2,30,20,0,958682846,0,0,5368586,33120391,0
0,0,2,30,30,0,599310825,0,0,5368586,33120391,0
0,0,2,60,0,0,440213415,0,0,6258082,36638988,0
0,0,2,60,2,0,373399426,0,0,6258082,36638988,0
0,0,2,60,5,0,1812140441,0,0,6258082,36638988,0
0,0,2,60,10,0,136505587,0,0,6258082,36638988,0
0,0,2,60,20,0,127978094,0,0,6258082,36638988,0
0,0,2,60,30,0,402418010,0,0,6258082,36638988,0
0,0,2,120,0,0,999270936,0,0,524288000,764972,0
0,0,2,120,2,0,113971123,0,0,524288000,764972,0
0,0,2,120,5,0,854001193,0,0,524288000,764972,0
0,0,2,120,10,0,1801823908,0,0,524288000,764972,0
0,0,2,120,20,0,946785248,0,0,524288000,764972,0
0,0,2,120,30,0,1929338154,0,0,524288000,764972,0
0,0,1,30,0,0,27911967,0,500164,197064779,764972,1
0,0,2,120,60,0,1194819984,0,0,524288000,764972,0
0,0,2,60,60,0,939042955,0,0,6258082,36638988,0
0,0,1,30,2,0,685731524,0,500164,197064779,764972,1
0,0,1,30,5,0,1815115025,0,500164,197064779,764972,1
0,0,1,30,10,0,1461364854,0,500164,197064779,764972,1
0,0,1,30,20,0,1193448329,0,500164,197064779,764972,1
0,0,1,30,30,0,667779376,0,500164,197064779,764972,1
0,0,1,60,0,0,924765563,0,500080,151831882,764972,1
0,0,1,60,2,0,1445662585,0,500080,151831882,764972,1
0,0,1,60,5,0,438989805,0,500080,151831882,764972,1
0,0,1,60,10,0,398340369,0,500080,151831882,764972,1
0,0,1,60,20,0,1631775357,0,500080,151831882,764972,1
0,0,1,60,30,0,415393687,0,500080,151831882,764972,1
0,0,1,60,60,0,1541804686,0,500080,151831882,764972,1
0,0,1,120,0,0,1477278577,0,0,524288000,764972,0
0,0,1,120,2,0,1136108454,0,0,524288000,764972,0
0,0,1,120,5,0,186618211,0,0,524288000,764972,0
0,0,1,120,10,0,1973214822,0,0,524288000,764972,0
0,0,1,120,20,0,536124280,0,0,524288000,764972,0
0,1,2,30,0,0,1259191105,0,1501206,62748234,1317104,1
0,0,1,120,30,0,1625792787,0,0,524288000,764972,0
0,1,2,30,2,0,1553210608,0,1501206,62748234,1317104,1
0,0,1,120,60,0,338444264,0,0,524288000,764972,0
0,1,2,30,5,0,825873196,0,1501206,62748234,1317104,1
0,1,2,30,10,0,298737106,0,1501206,62748234,1317104,1
0,1,2,30,20,0,196814233,0,1501206,62748234,1317104,1
0,1,2,30,30,0,978815630,0,1501206,62748234,1317104,1
0,1,2,60,0,0,1242911821,0,1500926,66458334,1317104,1
0,1,2,60,2,0,342703921,0,1500926,66458334,1317104,1
0,1,2,60,5,0,999829240,0,1500926,66458334,1317104,1
0,1,2,60,10,0,433797840,0,1500926,66458334,1317104,1
0,1,2,60,20,0,1632629719,0,1500926,66458334,1317104,1
0,1,2,60,30,0,1193887545,0,1500926,66458334,1317104,1
0,1,2,60,60,0,1947382419,0,1500926,66458334,1317104,1
0,1,2,120,0,0,1566942273,0,8503423,64277752,1317104,1
