scenario,lead_s,sat_mbps,opp_mbps,opp_cc,jains,total_mbps,n_runs
F1_vs_BBRv3,0,4.86,4.84,BBRv3,0.9967,9.7,2
F1_vs_BBRv3,5,4.62,5.11,BBRv3,0.9906,9.73,2
F1_vs_BBRv3,10,5.83,3.86,BBRv3,0.862,9.69,2
F1_vs_BBRv3,15,3.51,6.17,BBRv3,0.8664,9.68,2
F1_vs_BBRv3,20,4.62,5.1,BBRv3,0.9869,9.72,2
F1_vs_BBRv3,30,4.62,5.06,BBRv3,0.9912,9.67,2
F1_vs_CUBIC,0,1.71,7.81,CUBIC,0.7133,9.53,2
F1_vs_CUBIC,5,1.76,7.97,CUBIC,0.7111,9.74,2
F1_vs_CUBIC,10,1.86,7.8,CUBIC,0.7337,9.66,2
F1_vs_CUBIC,15,1.83,7.87,CUBIC,0.7275,9.7,2
F1_vs_CUBIC,20,1.14,8.32,CUBIC,0.6553,9.46,2
F1_vs_CUBIC,30,1.58,8.06,CUBIC,0.6909,9.65,2
F3_vs_CUBIC,0,3.43,6.18,CUBIC,0.8881,9.61,2
