baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged,ss_mean_bps,ss_stddev_bps
0,0,2,30,5,0,1181241943,0,0,5368586,33120391,0,0,0
0,0,2,30,2,0,107420369,0,0,5368586,33120391,0,0,0
0,0,2,30,0,0,478163327,0,0,5368586,33120391,0,0,0
0,0,2,30,20,0,958682846,0,0,5368586,33120391,0,0,0
0,0,2,30,10,0,1051802512,0,0,5368586,33120391,0,0,0
0,0,2,30,30,0,599310825,0,0,5368586,33120391,0,0,0
0,0,2,60,0,0,440213415,0,0,6258082,36638988,0,0,0
0,0,2,60,2,0,373399426,0,0,6258082,36638988,0,0,0
0,0,2,60,5,0,1812140441,0,0,6258082,36638988,0,0,0
0,0,2,60,10,0,136505587,0,0,6258082,36638988,0,0,0
0,0,2,60,20,0,127978094,0,0,6258082,36638988,0,0,0
0,0,2,60,30,0,402418010,0,0,6258082,36638988,0,0,0
0,0,2,120,0,0,999270936,0,0,524288000,764972,0,0,0
0,0,2,120,2,0,113971123,0,0,524288000,764972,0,0,0
0,0,2,120,5,0,854001193,0,0,524288000,764972,0,0,0
0,0,2,120,10,0,1801823908,0,0,524288000,764972,0,0,0
0,0,2,120,20,0,946785248,0,0,524288000,764972,0,0,0
0,0,2,120,30,0,1929338154,0,0,524288000,764972,0,0,0
0,2,0,30,0,0,27911967,0,1500190,342743587,1638720,1,50344850,63143
0,0,2,120,60,0,1194819984,0,0,524288000,764972,0,0,0
0,0,2,60,60,0,939042955,0,0,6258082,36638988,0,0,0
0,2,0,30,2,0,685731524,0,1500190,342743587,1638720,1,50344850,63143
0,2,0,30,5,0,1815115025,0,1500190,342743587,1638720,1,50344850,63143
0,2,0,30,10,0,1461364854,0,1500190,342743587,1638720,1,50344850,63143
0,2,0,30,20,0,1193448329,0,1500190,342743587,1638720,1,50344850,63143
0,2,0,30,30,0,667779376,0,1500190,342743587,1638720,1,50344850,63143
0,2,0,60,0,0,924765563,0,2500662,341444470,1638720,1,50349854,74319
0,2,0,60,2,0,1445662585,0,2500662,341444470,1638720,1,50349854,74319
0,2,0,60,5,0,438989805,0,2500662,341444470,1638720,1,50349854,74319
0,2,0,60,10,0,398340369,0,2500662,341444470,1638720,1,50349854,74319
0,2,0,60,20,0,1631775357,0,2500662,341444470,1638720,1,50349854,74319
0,2,0,60,30,0,415393687,0,2500662,341444470,1638720,1,50349854,74319
0,2,0,60,60,0,1541804686,0,2500662,341444470,1638720,1,50349854,74319
0,2,0,120,0,0,1477278577,0,1500487,342962959,1638720,1,50344856,71178
0,2,0,120,2,0,1136108454,0,1500487,342962959,1638720,1,50344856,71178
0,2,0,120,5,0,186618211,0,1500487,342962959,1638720,1,50344856,71178
0,2,0,120,10,0,1973214822,0,1500487,342962959,1638720,1,50344856,71178
0,2,0,120,20,0,536124280,0,1500487,342962959,1638720,1,50344856,71178
0,2,0,120,30,0,1625792787,0,1500487,342962959,1638720,1,50344856,71178
0,2,0,120,60,0,338444264,0,1500487,342962959,1638720,1,50344856,71178
0,0,1,30,0,0,1259191105,0,500164,197064779,764972,1,29223845,3089176
0,0,1,30,2,0,1553210608,0,500164,197064779,764972,1,29223845,3089176
0,0,1,30,5,0,825873196,0,500164,197064779,764972,1,29223845,3089176
0,0,1,30,10,0,298737106,0,500164,197064779,764972,1,29223845,3089176
0,0,1,30,20,0,196814233,0,500164,197064779,764972,1,29223845,3089176
0,0,1,30,30,0,978815630,0,500164,197064779,764972,1,29223845,3089176
0,0,1,60,0,0,1242911821,0,500080,151831882,764972,1,28842795,2214138
0,0,1,60,2,0,342703921,0,500080,151831882,764972,1,28842795,2214138
0,0,1,60,5,0,999829240,0,500080,151831882,764972,1,28842795,2214138
0,0,1,60,10,0,433797840,0,500080,151831882,764972,1,28842795,2214138
0,0,1,60,20,0,1632629719,0,500080,151831882,764972,1,28842795,2214138
0,0,1,60,30,0,1193887545,0,500080,151831882,764972,1,28842795,2214138
0,0,1,60,60,0,1947382419,0,500080,151831882,764972,1,28842795,2214138
0,0,1,120,0,0,1566942273,0,0,524288000,764972,0,0,0
0,0,1,120,2,0,698594025,0,0,524288000,764972,0,0,0
0,0,1,120,5,0,1589915144,0,0,524288000,764972,0,0,0
0,0,1,120,10,0,1525876051,0,0,524288000,764972,0,0,0
0,0,1,120,20,0,899825838,0,0,524288000,764972,0,0,0
0,0,1,120,30,0,1146660997,0,0,524288000,764972,0,0,0
0,0,1,120,60,0,306671447,0,0,524288000,764972,0,0,0
0,1,0,30,0,0,735034881,0,2500381,338555606,1317104,1,49922738,75095
0,1,0,30,2,0,1051454923,0,2500381,338555606,1317104,1,49922738,75095
0,1,0,30,5,0,701808367,0,2500381,338555606,1317104,1,49922738,75095
0,1,0,30,10,0,1985392498,0,2500381,338555606,1317104,1,49922738,75095
0,1,0,30,20,0,1629748727,0,2500381,338555606,1317104,1,49922738,75095
0,1,0,30,30,0,1159417075,0,2500381,338555606,1317104,1,49922738,75095
0,1,0,60,0,0,943239974,0,500021,304314277,1317104,1,49920690,69633
0,1,0,60,2,0,1392783743,0,500021,304314277,1317104,1,49920690,69633
0,1,0,60,5,0,240251661,0,500021,304314277,1317104,1,49920690,69633
0,1,0,60,10,0,983753977,0,500021,304314277,1317104,1,49920690,69633
0,1,0,60,20,0,137869475,0,500021,304314277,1317104,1,49920690,69633
0,1,0,60,30,0,1354860540,0,500021,304314277,1317104,1,49920690,69633
0,1,0,60,60,0,1722989659,0,500021,304314277,1317104,1,49920690,69633
0,1,0,120,0,0,1149938334,0,2500287,78772747,1317104,1,4406564,4406564
0,1,0,120,2,0,284277889,0,2500287,78772747,1317104,1,4406564,4406564
0,1,0,120,5,0,906164396,0,2500287,78772747,1317104,1,4406564,4406564
0,1,0,120,10,0,1351531223,0,2500287,78772747,1317104,1,4406564,4406564
0,1,0,120,20,0,913224047,0,2500287,78772747,1317104,1,4406564,4406564
0,1,0,120,30,0,2144181937,0,2500287,78772747,1317104,1,4406564,4406564
0,1,2,30,0,0,1970753705,0,1501206,62748234,1317104,1,10163802,2750770
0,1,2,30,2,0,613628803,0,1501206,62748234,1317104,1,10163802,2750770
0,1,0,120,60,0,1699226064,0,2500287,78772747,1317104,1,4406564,4406564
0,1,2,30,5,0,1137651678,0,1501206,62748234,1317104,1,10163802,2750770
0,1,2,30,10,0,599707677,0,1501206,62748234,1317104,1,10163802,2750770
0,1,2,30,20,0,1059257080,0,1501206,62748234,1317104,1,10163802,2750770
0,1,2,30,30,0,1128466620,0,1501206,62748234,1317104,1,10163802,2750770
0,1,2,60,0,0,1840109255,0,1500926,66458334,1317104,1,10033306,80929
0,1,2,60,2,0,1715412119,0,1500926,66458334,1317104,1,10033306,80929
0,1,2,60,5,0,1554762903,0,1500926,66458334,1317104,1,10033306,80929
0,1,2,60,10,0,941975480,0,1500926,66458334,1317104,1,10033306,80929
0,1,2,60,20,0,594130308,0,1500926,66458334,1317104,1,10033306,80929
0,1,2,60,30,0,2119634399,0,1500926,66458334,1317104,1,10033306,80929
0,1,2,60,60,0,390452952,0,1500926,66458334,1317104,1,10033306,80929
0,1,2,120,0,0,202363285,0,8503423,64277752,1317104,1,10037641,78570
0,1,2,120,2,0,470939445,0,8503423,64277752,1317104,1,10037641,78570
0,1,2,120,5,0,656448479,0,8503423,64277752,1317104,1,10037641,78570
0,1,2,120,10,0,687117441,0,8503423,64277752,1317104,1,10037641,78570
0,1,2,120,20,0,1813163240,0,8503423,64277752,1317104,1,10037641,78570
0,1,2,120,30,0,272849424,0,8503423,64277752,1317104,1,10037641,78570
0,2,1,30,0,0,1639042338,0,1500256,204432841,1638720,1,30237499,155650
0,2,1,30,2,0,2010258946,0,1500256,204432841,1638720,1,30237499,155650
0,1,2,120,60,0,1652563013,0,8503423,64277752,1317104,1,10037641,78570
0,2,1,30,5,0,1079815404,0,1500256,204432841,1638720,1,30237499,155650
0,2,1,30,10,0,49310608,0,1500256,204432841,1638720,1,30237499,155650
0,2,1,30,20,0,491995979,0,1500256,204432841,1638720,1,30237499,155650
0,2,1,30,30,0,1146005448,0,1500256,204432841,1638720,1,30237499,155650
0,2,1,60,0,0,1461042543,0,2500150,204926277,1638720,1,30223438,123977
0,2,1,60,2,0,479112937,0,2500150,204926277,1638720,1,30223438,123977
0,2,1,60,5,0,1260573448,0,2500150,204926277,1638720,1,30223438,123977
0,2,1,60,10,0,1867302554,0,2500150,204926277,1638720,1,30223438,123977
0,2,1,60,20,0,679282378,0,2500150,204926277,1638720,1,30223438,123977
0,2,1,60,30,0,1948728483,0,2500150,204926277,1638720,1,30223438,123977
0,2,1,60,60,0,13938521,0,2500150,204926277,1638720,1,30223438,123977
0,2,1,120,0,0,1131247330,0,1500658,204262704,1638720,1,30230309,142041
0,2,1,120,2,0,767303988,0,1500658,204262704,1638720,1,30230309,142041
0,2,1,120,5,0,457031004,0,1500658,204262704,1638720,1,30230309,142041
0,2,1,120,10,0,1281810600,0,1500658,204262704,1638720,1,30230309,142041
0,2,1,120,20,0,854316681,0,1500658,204262704,1638720,1,30230309,142041
0,2,1,120,30,0,656439677,0,1500658,204262704,1638720,1,30230309,142041
0,2,1,120,60,0,1605947756,0,1500658,204262704,1638720,1,30230309,142041
2,0,2,30,0,0,693847829,0,0,5368586,33120391,0,0,0
2,0,2,30,2,0,2456273,0,0,5368586,33120391,0,0,0
2,0,2,30,5,0,1392239675,0,0,8977021,35719636,0,29227,164818
2,0,2,30,30,0,480468219,0,0,2601414,30048,0,396053,74984
2,0,2,30,10,0,2098545541,0,0,7234045,34901938,0,183900,1085591
2,0,2,30,20,0,83651970,0,0,7233311,36134856,0,141,836
2,0,2,60,0,0,1558990517,0,0,6258082,36638988,0,0,0
2,0,2,60,2,0,1320763135,0,0,7414264,40795464,0,409,2421
2,0,2,60,10,0,248786714,0,0,9091314,36683279,0,6225,28142
2,0,2,60,5,0,1028439863,0,0,6567754,40636774,0,389,1735
2,0,2,60,60,0,367878761,0,0,2600198,30048,0,396053,76759
2,0,2,120,0,0,2087313121,0,0,524288000,764972,0,0,0
2,0,2,120,2,0,297265480,0,0,524288000,764972,0,0,0
2,0,2,60,20,0,1034535593,0,0,5660989,29017506,0,139,825
2,0,2,120,5,0,540137296,0,0,524288000,764972,0,0,0
2,0,2,120,10,0,551437149,0,0,524288000,764972,0,0,0
2,0,2,120,20,0,2041322270,0,0,524288000,764972,0,0,0
2,0,2,60,30,0,338258951,0,0,7477570,36502876,0,31531,164203
2,0,2,120,30,0,709214891,0,0,524288000,764972,0,0,0
2,2,0,30,0,0,1817363615,0,1500190,342743587,1638720,1,50344850,63143
2,0,2,120,60,0,1138409539,0,0,524288000,764972,0,0,0
2,2,0,30,2,0,909666337,0,1500495,343065585,1638720,1,50345168,73613
2,2,0,30,5,0,863937247,0,1500603,343747529,1638720,1,50345165,69648
2,2,0,30,10,0,1338811290,0,2500819,342138535,1638720,1,50349230,71170
2,2,0,30,20,0,1713658874,0,1500394,343806583,1638720,1,50349230,72462
2,2,0,30,30,0,1603828849,0,1502279,342847714,1638720,1,50349852,71731
2,2,0,60,0,0,1881625505,0,2500662,341444470,1638720,1,50349854,74319
2,2,0,60,2,0,1939118223,0,1501053,341116862,1638720,1,50349224,73887
2,2,0,60,5,0,519709079,0,1501032,343598505,1638720,1,50349230,75150
2,2,0,60,10,0,1064746525,0,1500140,343710947,1638720,1,50349537,71526
2,2,0,60,20,0,965067727,0,2500850,342938598,1638720,1,50349227,68772
2,2,0,60,30,0,274989148,0,1500821,343685651,1638720,1,50344853,72695
2,2,0,60,60,0,1452066459,0,1506649,342736627,1638720,1,50349227,72183
2,2,0,120,0,0,90341465,0,1500487,342962959,1638720,1,50344856,71178
2,2,0,120,2,0,988335251,0,1500404,343124649,1638720,1,50345168,71326
2,2,0,120,5,0,945826486,0,1501024,343795320,1638720,1,50348917,73122
2,2,0,120,10,0,30884438,0,1500844,343557705,1638720,1,50353292,74813
2,2,0,120,20,0,304912982,0,2500905,343430588,1638720,1,50350792,71237
2,2,0,120,30,0,252860896,0,1500995,343622382,1638720,1,50344856,69394
2,2,0,120,60,0,983297492,0,1500658,343805174,1638720,1,50349227,71403
2,0,1,30,0,0,289482182,0,500164,197064779,764972,1,29223845,3089176
2,0,1,30,2,0,134917627,0,500164,197064779,764972,1,29223845,3089176
2,0,1,30,5,0,1419179580,0,500142,197053662,764972,1,29041118,2373116
2,0,1,30,30,0,1196050747,0,0,8566511,28796,0,1314865,11169
2,0,1,30,10,0,304330003,0,2500501,195891724,764972,1,29113115,2676263
2,0,1,30,20,0,1022222125,0,500072,196680920,764972,1,29080630,2401118
2,0,1,60,0,0,2084839399,0,500080,151831882,764972,1,28842795,2214138
2,0,1,60,2,0,920140090,0,6500771,151851370,764972,1,28914586,2825836
2,0,1,60,5,0,568275055,0,7500967,151870858,1318356,1,30067099,141460
2,0,1,60,10,0,2030106617,0,500009,151909834,764972,1,28649733,2715750
2,0,1,60,60,0,1748309234,0,0,8566500,28796,0,1314865,10691
2,0,1,60,20,0,1043665192,0,500145,164417463,764972,1,29029479,2182625
2,0,1,60,30,0,2031403296,0,7504648,152064519,1269528,1,30082198,155084
2,0,1,120,0,0,817804383,0,0,524288000,764972,0,0,0
2,0,1,120,2,0,405126228,0,0,524288000,764972,0,0,0
2,0,1,120,5,0,416314667,0,0,524288000,764972,0,0,0
2,0,1,120,10,0,1851350739,0,0,524288000,764972,0,0,0
2,0,1,120,20,0,1521696479,0,0,524288000,764972,0,0,0
2,0,1,120,30,0,1819256337,0,0,524288000,764972,0,0,0
2,0,1,120,60,0,1765670844,0,0,524288000,764972,0,0,0
2,1,0,30,0,0,2005855667,0,2500381,338555606,1317104,1,49922738,75095
2,1,0,30,2,0,232663462,0,500020,343209595,1317104,1,49918410,73217
2,1,0,30,5,0,422701550,0,500035,343214468,1317104,1,49920846,71517
2,1,0,30,30,0,1457293575,0,0,24333633,27544,0,3557998,7007
2,1,0,30,10,0,260329455,0,500014,343231531,1317104,1,49922470,72455
2,1,0,30,20,0,1729245242,0,500021,343240033,1317104,1,49922467,75925
2,1,0,60,0,0,469306919,0,500021,304314277,1317104,1,49920690,69633
2,1,0,60,2,0,1067970820,0,500025,304946419,1317104,1,49921026,69595
2,1,0,60,5,0,822873088,0,500157,306065761,1317104,1,49924152,72812
2,1,0,60,10,0,816941039,0,500240,304423909,1317104,1,49921026,78510
2,1,0,60,60,0,1811967841,0,0,24339723,27544,0,3558540,7893
2,1,0,60,20,0,1926780541,0,500096,304568851,1317104,1,49921362,74503
2,1,0,60,30,0,602078388,0,500024,304678471,1317104,1,49921362,72896
2,1,0,120,0,0,788075126,0,2500287,78772747,1317104,1,4406564,4406564
2,1,0,120,2,0,1196342297,0,500039,78810505,1317104,1,15699284,15699284
2,1,0,120,5,0,1986972437,0,500053,78847045,1317104,1,31525240,0
2,1,0,120,10,0,1072910527,0,500310,78918907,1317104,1,31700632,0
2,1,0,120,20,0,323775634,0,500185,79065067,1317104,1,16547012,16547012
2,1,0,120,30,0,1903232052,0,500004,79178341,1317104,1,16970876,16970876
2,1,2,30,0,0,217275224,0,1501206,62748234,1317104,1,10163802,2750770
2,1,2,30,2,0,63384488,0,1500601,66101490,1317104,1,10027288,86304
2,1,2,30,5,0,400560567,0,1500616,64730839,1317104,1,10183351,3313505
2,1,2,30,10,0,1015242176,0,1500920,65083739,1317104,1,10198358,3245284
2,1,2,30,30,0,1745535098,0,0,3501703,41316,0,535909,4052
2,1,0,120,60,0,420514789,0,500117,79575421,1317104,1,18705356,18705356
