baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,n_runs,n_converged,t90_median_us,t90_p25_us,t90_p75_us,goodput_mean_bytes,goodput_ci95_bytes,peak_queue_median,ss_mean_bps,ss_stddev_bps
0,0,1,30,0,0,1,1,500164.0,500164.0,500164.0,197064779.0,0.0,764972.0,29223845.0,3089176.0
0,0,1,30,2,0,1,1,500164.0,500164.0,500164.0,197064779.0,0.0,764972.0,29223845.0,3089176.0
0,0,1,30,5,0,1,1,500164.0,500164.0,500164.0,197064779.0,0.0,764972.0,29223845.0,3089176.0
0,0,1,30,10,0,1,1,500164.0,500164.0,500164.0,197064779.0,0.0,764972.0,29223845.0,3089176.0
0,0,1,30,20,0,1,1,500164.0,500164.0,500164.0,197064779.0,0.0,764972.0,29223845.0,3089176.0
0,0,1,30,30,0,1,1,500164.0,500164.0,500164.0,197064779.0,0.0,764972.0,29223845.0,3089176.0
0,0,1,60,0,0,1,1,500080.0,500080.0,500080.0,151831882.0,0.0,764972.0,28842795.0,2214138.0
0,0,1,60,2,0,1,1,500080.0,500080.0,500080.0,151831882.0,0.0,764972.0,28842795.0,2214138.0
0,0,1,60,5,0,1,1,500080.0,500080.0,500080.0,151831882.0,0.0,764972.0,28842795.0,2214138.0
0,0,1,60,10,0,1,1,500080.0,500080.0,500080.0,151831882.0,0.0,764972.0,28842795.0,2214138.0
0,0,1,60,20,0,1,1,500080.0,500080.0,500080.0,151831882.0,0.0,764972.0,28842795.0,2214138.0
0,0,1,60,30,0,1,1,500080.0,500080.0,500080.0,151831882.0,0.0,764972.0,28842795.0,2214138.0
0,0,1,60,60,0,1,1,500080.0,500080.0,500080.0,151831882.0,0.0,764972.0,28842795.0,2214138.0
0,0,1,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,1,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,1,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,1,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,1,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,1,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,1,120,60,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,2,30,0,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0,0.0,0.0
0,0,2,30,2,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0,0.0,0.0
0,0,2,30,5,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0,0.0,0.0
0,0,2,30,10,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0,0.0,0.0
0,0,2,30,20,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0,0.0,0.0
0,0,2,30,30,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0,0.0,0.0
0,0,2,60,0,0,1,0,0.0,0.0,0.0,6258082.0,0.0,36638988.0,0.0,0.0
0,0,2,60,2,0,1,0,0.0,0.0,0.0,6258082.0,0.0,36638988.0,0.0,0.0
0,0,2,60,5,0,1,0,0.0,0.0,0.0,6258082.0,0.0,36638988.0,0.0,0.0
0,0,2,60,10,0,1,0,0.0,0.0,0.0,6258082.0,0.0,36638988.0,0.0,0.0
0,0,2,60,20,0,1,0,0.0,0.0,0.0,6258082.0,0.0,36638988.0,0.0,0.0
0,0,2,60,30,0,1,0,0.0,0.0,0.0,6258082.0,0.0,36638988.0,0.0,0.0
0,0,2,60,60,0,1,0,0.0,0.0,0.0,6258082.0,0.0,36638988.0,0.0,0.0
0,0,2,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,2,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,2,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,2,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,2,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,2,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,0,2,120,60,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
0,1,0,30,0,0,1,1,2500381.0,2500381.0,2500381.0,338555606.0,0.0,1317104.0,49922738.0,75095.0
0,1,0,30,2,0,1,1,2500381.0,2500381.0,2500381.0,338555606.0,0.0,1317104.0,49922738.0,75095.0
0,1,0,30,5,0,1,1,2500381.0,2500381.0,2500381.0,338555606.0,0.0,1317104.0,49922738.0,75095.0
0,1,0,30,10,0,1,1,2500381.0,2500381.0,2500381.0,338555606.0,0.0,1317104.0,49922738.0,75095.0
