Starting test number 346, bbr_sat_fairness_f1_cubic_sweep
scenario,lead_time_s,t_s,flow1_rate_bps,flow2_rate_bps,jains_index
F1,0,1,2202248,6387328,0.8082
F1,0,2,2722904,7054664,0.8359
F1,0,3,2644136,7130264,0.8260
F1,0,4,2531576,6624160,0.8335
F1,0,5,2440656,7242832,0.8026
F1,0,6,2079976,8389936,0.7336
F1,0,7,2631184,7141600,0.8244
F1,0,8,2642344,6489376,0.8493
F1,0,9,2462320,7951296,0.7826
F1,0,10,2349888,6691552,0.8126
F1,0,11,2507304,7985008,0.7858
F1,0,12,2215136,7557856,0.7699
F1,0,13,2709888,7062864,0.8344
F1,0,14,2754816,7017808,0.8401
F1,0,15,3002336,6759248,0.8710
F1,0,16,2777536,6646768,0.8558
F1,0,17,2979824,7141488,0.8554
F1,0,18,3013504,6759088,0.8719
F1,0,19,2676128,6624192,0.8473
F1,0,20,2822328,7411416,0.8326
F1,0,21,2574864,6556616,0.8402
F1,0,22,2934808,7478896,0.8400
F1,0,23,2934928,6837984,0.8624
F1,0,24,2766184,6511792,0.8599
F1,0,25,2361136,7906216,0.7742
F1,0,26,2124992,7220248,0.7708
F1,0,27,2946080,7242648,0.8490
F1,0,28,2777424,6995376,0.8430
F1,0,29,2777304,6995528,0.8430
F1,0,30,3058496,6714096,0.8773
F1,0,31,618336,1079648,0.9313
F1,0,32,787032,1360504,0.9334
F1,0,33,831864,1315696,0.9517
F1,0,34,798288,1315512,0.9435
F1,0,35,787040,1495240,0.9122
F1,0,36,753216,1708776,0.8691
F1,0,37,640784,2102168,0.7789
F1,0,38,652064,2282368,0.7641
F1,0,39,528416,2394768,0.7104
F1,0,40,427264,2507256,0.6656
F1,0,41,112400,326048,0.8081
F1,0,42,33744,2417280,0.5140
F1,0,43,0,78680,0.5000
F1,0,44,0,4137424,0.5000
F1,0,45,560128,6801864,0.5818
F1,0,46,0,247360,0.5000
F1,0,47,785816,2990936,0.7458
F1,0,48,314688,4598704,0.5681
F1,0,49,280848,2653704,0.6047
F1,0,50,213624,1427968,0.6463
F1,0,51,101144,1574192,0.5640
F1,0,52,685512,1855304,0.8251
F1,0,53,382080,3519392,0.6073
F1,0,54,146136,1731576,0.5838
F1,0,55,269688,3103336,0.5863
F1,0,56,797808,4688224,0.6654
F1,0,57,314584,2619928,0.6184
F1,0,58,370920,2552400,0.6423
F1,0,59,415832,921984,0.8748
F1,0,60,393216,4126520,0.5944
F1,0,61,415832,1079456,0.8354
F1,0,62,370816,1056960,0.8124
F1,0,63,78648,2687304,0.5292
F1,0,64,483208,1045712,0.8808
F1,0,65,56152,1338072,0.5419
F1,0,66,89888,7848312,0.5115
F1,0,67,370792,258608,0.9692
F1,0,68,719408,3485712,0.6980
F1,0,69,337264,4632376,0.5724
F1,0,70,337176,2597456,0.6277
F1,0,71,393416,820752,0.8898
F1,0,72,382176,1383064,0.7567
F1,0,73,337176,4711240,0.5712
F1,0,74,371008,483456,0.9830
F1,0,75,0,2451160,0.5000
F1,0,76,438320,3463240,0.6246
