Starting test number 345, bbr_sat_fairness_f1_sweep
scenario,lead_time_s,t_s,flow1_rate_bps,flow2_rate_bps,jains_index
F1,0,1,3935352,4025368,0.9999
F1,0,2,5019080,4467680,0.9966
F1,0,3,4916184,5152560,0.9994
F1,0,4,4959224,4813160,0.9998
F1,0,5,4970648,4801880,0.9997
F1,0,6,4655640,4689360,1.0000
F1,0,7,4363464,3542432,0.9893
F1,0,8,5431688,5262960,0.9998
F1,0,9,5015600,4756968,0.9993
F1,0,10,5026848,4745712,0.9992
F1,0,11,4621984,4835728,0.9995
F1,0,12,4700640,4262224,0.9976
F1,0,13,4633320,4925696,0.9991
F1,0,14,5094280,4813224,0.9992
F1,0,15,5071944,4768104,0.9990
F1,0,16,5094312,4678192,0.9982
F1,0,17,4970672,4801888,0.9997
F1,0,18,4464696,4284632,0.9996
F1,0,19,4981936,4745728,0.9994
F1,0,20,5015592,4801816,0.9995
F1,0,21,4520848,4768232,0.9993
F1,0,22,5510496,4745712,0.9945
F1,0,23,4509608,4070848,0.9974
F1,0,24,4678216,4711952,1.0000
F1,0,25,5409272,4734496,0.9956
F1,0,26,4925680,4846880,0.9999
F1,0,27,5071848,4700736,0.9986
F1,0,28,4936880,4835704,0.9999
F1,0,29,4498352,4239648,0.9991
F1,0,30,4644568,4318376,0.9987
F1,0,31,1293136,1338160,0.9997
F1,0,32,1124240,1124320,1.0000
F1,0,33,1101824,787040,0.9730
F1,0,34,1023088,1304448,0.9856
F1,0,35,1011920,753456,0.9790
F1,0,36,1090496,516984,0.8871
F1,0,37,719552,843048,0.9938
F1,0,38,1090656,1101680,1.0000
F1,0,39,1169232,1056656,0.9974
F1,0,40,944432,1101728,0.9941
F1,0,41,1090576,1135400,0.9996
F1,0,42,1202960,1067984,0.9965
F1,0,43,966880,1090408,0.9964
F1,0,44,1034416,1135472,0.9978
F1,0,45,1214224,1067992,0.9959
F1,0,46,1011920,1090400,0.9986
F1,0,47,978176,1124232,0.9952
F1,0,48,1225472,1090488,0.9966
F1,0,49,1068160,1067904,1.0000
F1,0,50,933184,1135480,0.9905
F1,0,51,1236800,1101648,0.9967
F1,0,52,1079328,1056744,0.9999
F1,0,53,921936,1124224,0.9903
F1,0,54,1203056,1112904,0.9985
F1,0,55,1135568,1056736,0.9987
F1,0,56,921936,1124232,0.9903
F1,0,57,1169312,1112896,0.9994
F1,0,58,1169392,1056744,0.9974
F1,0,59,933184,1112976,0.9923
F1,0,60,1101824,1124152,0.9999
F1,0,61,1203056,1067984,0.9965
F1,0,62,955680,1101656,0.9950
F1,0,63,1045664,1112976,0.9990
F1,0,64,1214304,1090488,0.9971
F1,0,65,1011920,1079152,0.9990
F1,0,66,978176,1124232,0.9952
F1,0,67,1225472,1101736,0.9972
F1,0,68,1056912,1067904,1.0000
F1,0,69,944432,1124232,0.9925
F1,0,70,1236800,1101728,0.9967
F1,0,71,1068160,1067912,1.0000
F1,0,72,921936,1124224,0.9903
F1,0,73,1214304,1101656,0.9976
F1,0,74,1135568,1056736,0.9987
F1,0,75,910688,1135480,0.9881
F1,0,76,1180560,1101648,0.9988
F1,0,77,1158144,1056744,0.9979
F1,0,78,933184,1124224,0.9915
F1,0,79,1113072,1112904,1.0000
F1,0,80,1203056,1067984,0.9965
F1,0,81,955680,1101736,0.9950
F1,0,82,1045664,1124144,0.9987
F1,0,83,1214304,1079240,0.9965
F1,0,84,1000672,1090400,0.9982
F1,0,85,989424,1124232,0.9959
F1,0,86,1225472,1090488,0.9966
F1,0,87,1045664,1079152,0.9998
F1,0,88,944432,1124232,0.9925
F1,0,89,1236800,1101728,0.9967
F1,0,90,1068160,1067912,1.0000
F1,5,1,3946624,4025416,0.9999
F1,5,2,5030424,4749072,0.9992
F1,5,3,4983536,4691240,0.9991
F1,5,4,5026928,4273480,0.9935
F1,5,5,4959344,5274200,0.9991
F1,5,6,4936832,4835616,0.9999
