baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged,ss_mean_bps,ss_stddev_bps
0,0,2,30,5,0,1051802512,3,1501040,57652219,764972,1,8580331,141583
0,0,2,30,5,0,1181241943,2,1501040,57652219,764972,1,8580331,141583
0,0,2,30,5,0,107420369,1,1501040,57652219,764972,1,8580331,141583
0,0,2,30,5,0,478163327,0,1501040,57652219,764972,1,8580331,141583
0,0,2,30,5,0,958682846,4,1501040,57652219,764972,1,8580331,141583
0,0,2,30,5,0,599310825,5,1501040,57652219,764972,1,8580331,141583
0,0,2,30,5,0,373399426,7,1501040,57652219,764972,1,8580331,141583
0,0,2,30,5,0,440213415,6,1501040,57652219,764972,1,8580331,141583
0,0,2,30,5,0,1812140441,8,1501040,57652219,764972,1,8580331,141583
0,0,2,30,5,0,136505587,9,1501040,57652219,764972,1,8580331,141583
4,0,2,30,5,0,127978094,0,2500735,67764450,1019128,1,9903229,1052376
4,0,2,30,5,0,402418010,1,2500735,67764450,1019128,1,9903229,1052376
4,0,2,30,5,0,939042955,2,2500735,67764450,1019128,1,9903229,1052376
4,0,2,30,5,0,854001193,5,2500735,67764450,1019128,1,9903229,1052376
4,0,2,30,5,0,113971123,4,2500735,67764450,1019128,1,9903229,1052376
4,0,2,30,5,0,999270936,3,2500735,67764450,1019128,1,9903229,1052376
4,0,2,30,5,0,1801823908,6,2500735,67764450,1019128,1,9903229,1052376
4,0,2,30,5,0,946785248,7,2500735,67764450,1019128,1,9903229,1052376
4,0,2,30,5,0,1929338154,8,2500735,67764450,1019128,1,9903229,1052376
4,0,2,30,5,0,1194819984,9,2500735,67764450,1019128,1,9903229,1052376
