baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged
0,0,2,30,5,0,1181241943,2,0,5368586,33120391,0
0,0,2,30,5,0,107420369,1,0,5368586,33120391,0
0,0,2,30,5,0,478163327,0,0,5368586,33120391,0
0,0,2,30,5,0,1051802512,3,0,5368586,33120391,0
0,0,2,30,5,0,958682846,4,0,5368586,33120391,0
0,0,2,30,5,0,599310825,5,0,5368586,33120391,0
0,0,2,30,5,0,373399426,7,0,5368586,33120391,0
0,0,2,30,5,0,440213415,6,0,5368586,33120391,0
0,0,2,30,5,0,1812140441,8,0,5368586,33120391,0
0,0,2,30,5,0,136505587,9,0,5368586,33120391,0
0,0,2,30,5,0,127978094,10,0,5368586,33120391,0
0,0,2,30,5,0,402418010,11,0,5368586,33120391,0
0,0,2,30,5,0,939042955,12,0,5368586,33120391,0
0,0,2,30,5,0,999270936,13,0,5368586,33120391,0
0,0,2,30,5,0,113971123,14,0,5368586,33120391,0
0,0,2,30,5,0,1801823908,16,0,5368586,33120391,0
0,0,2,30,5,0,854001193,15,0,5368586,33120391,0
0,0,2,30,5,0,946785248,17,0,5368586,33120391,0
0,0,2,30,5,0,1929338154,18,0,5368586,33120391,0
0,0,2,30,5,0,1194819984,19,0,5368586,33120391,0
0,0,2,30,5,0,27911967,20,0,5368586,33120391,0
0,0,2,30,5,0,685731524,21,0,5368586,33120391,0
0,0,2,30,5,0,1815115025,22,0,5368586,33120391,0
0,0,2,30,5,0,1461364854,23,0,5368586,33120391,0
0,0,2,30,5,0,1193448329,24,0,5368586,33120391,0
0,0,2,30,5,0,667779376,25,0,5368586,33120391,0
0,0,2,30,5,0,924765563,26,0,5368586,33120391,0
0,0,2,30,5,0,1445662585,27,0,5368586,33120391,0
0,0,2,30,5,0,438989805,28,0,5368586,33120391,0
0,0,2,30,5,0,398340369,29,0,5368586,33120391,0
4,0,2,30,5,0,1631775357,0,3564755,43407174,764972,1
4,0,2,30,5,0,415393687,1,3564755,43407174,764972,1
4,0,2,30,5,0,1541804686,2,3564755,43407174,764972,1
4,0,2,30,5,0,1477278577,3,3564755,43407174,764972,1
4,0,2,30,5,0,1136108454,4,3564755,43407174,764972,1
4,0,2,30,5,0,186618211,5,3564755,43407174,764972,1
4,0,2,30,5,0,1973214822,6,3564755,43407174,764972,1
4,0,2,30,5,0,536124280,7,3564755,43407174,764972,1
4,0,2,30,5,0,1625792787,8,3564755,43407174,764972,1
4,0,2,30,5,0,338444264,9,3564755,43407174,764972,1
4,0,2,30,5,0,1259191105,10,3564755,43407174,764972,1
4,0,2,30,5,0,1553210608,11,3564755,43407174,764972,1
4,0,2,30,5,0,825873196,12,3564755,43407174,764972,1
4,0,2,30,5,0,298737106,13,3564755,43407174,764972,1
4,0,2,30,5,0,196814233,14,3564755,43407174,764972,1
4,0,2,30,5,0,978815630,15,3564755,43407174,764972,1
4,0,2,30,5,0,1242911821,16,3564755,43407174,764972,1
4,0,2,30,5,0,342703921,17,3564755,43407174,764972,1
4,0,2,30,5,0,999829240,18,3564755,43407174,764972,1
4,0,2,30,5,0,433797840,19,3564755,43407174,764972,1
4,0,2,30,5,0,1632629719,20,3564755,43407174,764972,1
4,0,2,30,5,0,1193887545,21,3564755,43407174,764972,1
4,0,2,30,5,0,1947382419,22,3564755,43407174,764972,1
4,0,2,30,5,0,1566942273,23,3564755,43407174,764972,1
4,0,2,30,5,0,698594025,24,3564755,43407174,764972,1
4,0,2,30,5,0,1589915144,25,3564755,43407174,764972,1
4,0,2,30,5,0,1525876051,26,3564755,43407174,764972,1
4,0,2,30,5,0,899825838,27,3564755,43407174,764972,1
4,0,2,30,5,0,1146660997,28,3564755,43407174,764972,1
4,0,2,30,5,0,306671447,29,3564755,43407174,764972,1
